"ee.Taxon","N","Definition"
"mouse",1,"pancreatic acinus"
"mouse",1,"pancreatic lobule"
"mouse",1,"acinus of exocrine gland"
"mouse",1,"serous acinus"
"mouse",1,"pars tuberalis of adenohypophysis"
"rat",1,"thyroid gland"
"human",1,"ependymal cell"
"human",1,"intermediate monocyte"
"human",1,"tendon"
"human",1,"regular connective tissue"
"human",1,"dense regular connective tissue"
"mouse",1,"plasmablast"
"rat",1,"urinary bladder"
"rat",1,"lower urinary tract"
"rat",1,"bladder organ"
"human",1,"lung parenchyma"
"mouse",1,"synovial fluid"
"mouse",1,"ankle joint"
"mouse",1,"skin of head"
"mouse",1,"skin of external ear"
"mouse",1,"external ear"
"mouse",1,"pinna"
"mouse",1,"head or neck skin"
"mouse",1,"sclera"
"human",1,"central amygdaloid nucleus"
"human",1,"medial amygdaloid nucleus"
"human",1,"basolateral amygdaloid nuclear complex"
"human",1,"corticomedial nuclear complex"
"mouse",1,"vestibular ganglion"
"mouse",1,"lamina propria"
"human",1,"cortex of lymph node"
"human",1,"lymph node follicle"
"human",1,"lymph node secondary follicle"
"mouse",1,"Bergmann glial cell"
"mouse",1,"lobe of liver"
"mouse",1,"left lobe of liver"
"mouse",1,"liver left lateral lobe"
"mouse",1,"intervertebral disk"
"mouse",1,"vertebral column"
"mouse",1,"intervertebral joint"
"mouse",1,"fibrous joint"
"mouse",1,"cartilaginous joint"
"mouse",1,"symphysis"
"mouse",1,"vertebra"
"mouse",1,"cartilage element"
"mouse",1,"irregular bone"
"mouse",1,"vertebral element"
"mouse",1,"nonsynovial joint"
"mouse",1,"intervertebral cartilage"
"mouse",1,"postcranial axial skeletal system"
"mouse",1,"sclerotome"
"mouse",1,"developing mesenchymal condensation"
"mouse",1,"migrating mesenchyme population"
"mouse",1,"cell condensation"
"rat",1,"right cardiac atrium"
"rat",1,"left cardiac atrium"
"rat",1,"cardiac atrium"
"mouse",1,"juxtaglomerular apparatus"
"mouse",1,"metanephric cap"
"mouse",1,"fibroblast of mammary gland"
"human",1,"embryonic fibroblast"
"human",1,"ankle joint"
"human",1,"epithelial cell of stomach"
"human",1,"renal glomerulus"
"human",1,"renal corpuscle"
"human",1,"mammary duct"
"human",1,"mammary lobe"
"human",1,"spermatogonium"
"mouse",1,"follicle cell"
"mouse",1,"immature gonad"
"human",1,"molecular entity"
"human",1,"chemical entity"
"human",1,"hydroxides"
"human",1,"molecule"
"human",1,"oxygen molecular entity"
"human",1,"polyphenol"
"human",1,"chalcogen molecular entity"
"human",1,"main group molecular entity"
"human",1,"carbon group molecular entity"
"human",1,"cyclic compound"
"human",1,"hydrogen molecular entity"
"human",1,"aromatic compound"
"human",1,"organic aromatic compound"
"human",1,"s-block molecular entity"
"human",1,"p-block molecular entity"
"human",1,"organic hydroxy compound"
"human",1,"organic cyclic compound"
"human",1,"phenols"
"human",1,"polyatomic entity"
"human",1,"heteroatomic molecular entity"
"human",1,"organic molecular entity"
"human",1,"organic molecule"
"rat",1,"excreta"
"rat",1,"feces"
"human",1,"slow muscle tissue"
"human",1,"fast muscle tissue"
"human",1,"vault of skull"
"mouse",1,"white matter of cerebellum"
"mouse",1,"pre-conventional dendritic cell"
"mouse",1,"third ventricle"
"rat",1,"outflow tract of ventricle"
"rat",1,"outflow part of right ventricle"
"rat",1,"apical region of right ventricle"
"rat",1,"apical region of heart ventricle"
"human",1,"tonsil germinal center B cell"
"human",1,"dura mater"
"mouse",1,"endoderm of foregut"
"mouse",1,"liver primordium"
"mouse",1,"pancreas primordium"
"mouse",1,"definitive endoderm"
"mouse",1,"lung primordium"
"mouse",1,"foregut-midgut junction"
"mouse",1,"respiratory primordium"
"mouse",1,"epithelium of foregut-midgut junction"
"mouse",1,"endoderm of foregut-midgut junction"
"mouse",1,"stomach primordium"
"mouse",1,"saliva"
"mouse",1,"epithelium of stomach"
"mouse",1,"anterior olfactory nucleus"
"human",1,"life span"
"human",1,"time"
"human",1,"physical quality"
"human",1,"increased life span"
"human",1,"increased quality"
"human",1,"increased object quality"
"human",1,"prostate gland stroma"
"rat",1,"fibroblast of cardiac tissue"
"mouse",1,"muscle head"
"mouse",1,"gastrocnemius medialis"
"human",1,"myoepithelial cell of mammary gland"
"mouse",1,"vagina"
"mouse",1,"internal female genitalia"
"mouse",1,"pericardial fat"
"rat",1,"lower lobe of lung"
"human",1,"ectocervix"
"human",1,"maturity"
"human",1,"mature"
"human",1,"organismal quality"
"mouse",1,"serous pericardium"
"mouse",1,"pericardial sac"
"mouse",1,"pericardium"
"mouse",1,"mesothelium of pericardial cavity"
"mouse",1,"mesothelium of pleural cavity"
"mouse",1,"peritoneal cavity mesothelium"
"mouse",1,"mesothelium of serous pericardium"
"mouse",1,"dental epithelium"
"mouse",1,"tooth enamel organ"
"mouse",1,"enamel knot"
"mouse",1,"Homininae"
"mouse",1,"Bovinae"
"mouse",1,"Laurasiatheria"
"mouse",1,"Simiiformes"
"mouse",1,"Hominoidea"
"mouse",1,"Pecora"
"mouse",1,"Haplorrhini"
"mouse",1,"Cetartiodactyla"
"mouse",1,"Primates"
"mouse",1,"Catarrhini"
"mouse",1,"Hominidae"
"mouse",1,"Homo"
"mouse",1,"Homo sapiens"
"mouse",1,"Ruminantia"
"mouse",1,"Bovidae"
"mouse",1,"Bos"
"mouse",1,"Bos taurus"
"human",1,"Langerhans cell"
"human",1,"dermal dendritic cell"
"human",1,"CD1a-positive Langerhans cell"
"human",1,"mature CD1a-positive Langerhans cell"
"human",1,"CD11b-positive dendritic cell"
"human",1,"CD14-positive dermal dendritic cell"
"human",1,"CD1a-positive dermal dendritic cell"
"human",1,"reproduction"
"human",1,"fertilization"
"human",1,"sexual reproduction"
"human",1,"reproductive process"
"human",1,"multi-organism reproductive process"
"human",1,"multi-organism process"
"rat",1,"osteoblast"
"rat",1,"osteoclast"
"rat",1,"bone cell"
"mouse",1,"granulation tissue"
"mouse",1,"first lumbar dorsal root ganglion"
"mouse",1,"intestine smooth muscle"
"mouse",1,"gastrointestinal system smooth muscle"
"mouse",1,"small intestine smooth muscle"
"human",1,"non-pigmented ciliary epithelial cell"
"human",1,"Brodmann (1909) area 19"
"human",1,"extrastriate cortex"
"human",1,"developing neuroepithelium"
"mouse",1,"middle ear epithelium"
"human",1,"articular chondrocyte of knee joint"
"human",1,"pleural fluid"
"human",1,"secretion of serous membrane"
"human",1,"gracilis"
"human",1,"semitendinosus"
"human",1,"muscle of posterior compartment of hindlimb stylopod"
"human",1,"hindlimb stylopod muscle"
"human",1,"musculature of hindlimb stylopod"
"human",1,"adductor muscle of hip"
"human",1,"adductor muscle"
"human",1,"reticular layer of dermis"
"human",1,"stratum basale of epidermis"
"human",1,"epidermis suprabasal layer"
"rat",1,"ventricular cardiac muscle cell"
"human",1,"parvocellular oculomotor nucleus"
"mouse",1,"geniculate ganglion"
"human",1,"skeletal muscle tissue of deltoid"
"human",1,"nerve of cervical vertebra"
"human",1,"facial nerve"
"human",1,"vestibulocochlear nerve"
"human",1,"hypoglossal nerve"
"human",1,"spinal nerve"
"human",1,"vestibular nerve"
"human",1,"cervical nerve plexus"
"human",1,"great auricular nerve"
"human",1,"nerve innervating pinna"
"human",1,"immature B cell"
"mouse",1,"cortical layer I"
"mouse",1,"cortical intermediate zone"
"mouse",1,"chromatin"
"mouse",1,"chromosome"
"mouse",1,"non-membrane-bounded organelle"
"mouse",1,"intracellular non-membrane-bounded organelle"
"mouse",1,"ascending aorta"
"mouse",1,"thoracic aorta"
"rat",1,"skin of penis"
"rat",1,"prepuce of penis"
"rat",1,"skin of prepuce of penis"
"rat",1,"prepuce"
"rat",1,"external soft tissue zone"
"human",1,"flocculonodular lobe"
"human",1,"cerebellum hemisphere lobule"
"human",1,"cerebellum lobule"
"human",1,"cerebellum lobe"
"human",1,"paraflocculus"
"human",1,"vestibulocerebellum"
"human",1,"flocculonodular lobe, hemisphere portion"
"human",1,"epithelial melanocyte"
"human",1,"epidermal melanocyte"
"mouse",1,"astrocyte of the cerebral cortex"
"mouse",1,"astrocyte of the forebrain"
"mouse",1,"brain macroglial cell"
"mouse",1,"cervical region"
"mouse",1,"peritoneal fluid"
"human",1,"intestinal villus"
"human",1,"intestinal villus of ileum"
"human",1,"ileal epithelium"
"human",1,"epithelium of intestinal villus"
"human",1,"epithelial lining fluid"
"mouse",1,"intestinal crypt stem cell"
"mouse",1,"jejunal epithelium"
"mouse",1,"intestinal villus of jejunum"
"mouse",1,"myeloid cell homeostasis"
"mouse",1,"myeloid cell differentiation"
"mouse",1,"erythrocyte differentiation"
"mouse",1,"megakaryocyte differentiation"
"mouse",1,"erythrocyte homeostasis"
"mouse",1,"homeostatic process"
"mouse",1,"homeostasis of number of cells"
"mouse",1,"immature conventional dendritic cell"
"mouse",1,"immature CD8_alpha-negative CD11b-positive dendritic cell"
"mouse",1,"CD4-positive CD11b-positive dendritic cell"
"mouse",1,"immature CD8_alpha-positive CD11b-negative dendritic cell"
"mouse",1,"coronary artery"
"mouse",1,"heart blood vessel"
"mouse",1,"thoracic segment blood vessel"
"mouse",1,"coronary vessel"
"mouse",1,"heart vasculature"
"human",1,"bone fossa"
"human",1,"posterior cranial fossa"
"human",1,"cranial fossa"
"mouse",1,"epithelium of trachea"
"rat",1,"membranous layer"
"rat",1,"chorion"
"rat",1,"extraembryonic membrane"
"rat",1,"crystallin accumulating cell"
"rat",1,"vertebrate lens cell"
"rat",1,"lens fiber cell"
"rat",1,"lens of camera-type eye"
"rat",1,"transparent eye structure"
"human",1,"regular cardiac myocyte"
"human",1,"regular ventricular cardiac myocyte"
"human",1,"fetal cardiomyocyte"
"human",1,"cranial suture"
"human",1,"craniofacial suture"
"human",1,"nursing stage"
"human",1,"infant stage"
"human",1,"growth plate cartilage chondrocyte"
"human",1,"perichondrium"
"human",1,"epiphyseal plate"
"human",1,"growth plate cartilage"
"human",1,"long bone epiphyseal plate proliferative zone"
"human",1,"long bone epiphyseal plate hypertrophic zone"
"human",1,"zone of epiphyseal plate"
"human",1,"abdominal cavity"
"human",1,"retroperitoneal space"
"human",1,"abdominopelvic cavity"
"human",1,"atrium auricular region"
"human",1,"left atrium auricular region"
"human",1,"endothelial cell of sinusoid"
"human",1,"amniotic stem cell"
"human",1,"endothelial cell of hepatic sinusoid"
"human",1,"liver parenchyma"
"human",1,"hepatic sinusoid"
"human",1,"capillary"
"human",1,"sinusoid"
"human",1,"liver lobule"
"human",1,"microcirculatory vessel"
"human",1,"fenestrated capillary"
"human",1,"oviduct glandular cell"
"human",1,"natural T-regulatory cell"
"mouse",1,"nerve of cervical vertebra"
"mouse",1,"phrenic nerve"
"mouse",1,"thoracic cavity nerve"
"mouse",1,"thoracic cavity artery"
"mouse",1,"hepatic oval stem cell"
"rat",1,"vasculature of trunk"
"rat",1,"heart blood vessel"
"rat",1,"trunk blood vessel"
"rat",1,"thoracic segment blood vessel"
"rat",1,"ductus arteriosus"
"rat",1,"coronary vessel"
"rat",1,"embryonic cardiovascular system"
"rat",1,"heart vasculature"
"human",1,"prostate gland smooth muscle"
"human",1,"muscle tissue of prostate"
"mouse",1,"extrahepatic bile duct"
"human",1,"hair follicle dermal papilla cell"
"human",1,"hair follicle dermal papilla cell of scalp"
"human",1,"dermal papilla"
"human",1,"papillary layer of dermis"
"mouse",1,"skin of limb"
"mouse",1,"skin of pes"
"mouse",1,"hindlimb skin"
"mouse",1,"autopod pad"
"mouse",1,"pedal autopod pad"
"mouse",1,"autopod skin"
"human",1,"tibia"
"human",1,"tibial plateaux"
"human",1,"hindlimb zeugopod bone"
"human",1,"hindlimb zeugopod skeleton"
"human",1,"zeugopodial skeleton"
"human",1,"tibia endochondral element"
"mouse",1,"muscle of arm"
"mouse",1,"triceps brachii"
"mouse",1,"forelimb muscle"
"mouse",1,"forelimb stylopod muscle"
"mouse",1,"musculature of arm"
"mouse",1,"musculature of upper limb"
"mouse",1,"pectoral appendage musculature"
"mouse",1,"pectoral complex muscle"
"mouse",1,"musculature of forelimb stylopod"
"mouse",1,"musculature of pectoral complex"
"mouse",1,"pectoral appendage muscle"
"mouse",1,"scapular muscle"
"human",1,"hindgut"
"human",1,"endoderm of foregut"
"human",1,"endoderm of midgut"
"human",1,"endoderm of hindgut"
"human",1,"epithelium of midgut"
"human",1,"epithelium of hindgut"
"human",1,"primitive streak"
"human",1,"definitive endoderm"
"human",1,"foregut epithelium"
"human",1,"ventral horn of spinal cord"
"human",1,"spinal cord column"
"mouse",1,"adrenal medulla"
"human",1,"intervertebral disk"
"human",1,"vertebral column"
"human",1,"intervertebral joint"
"human",1,"fibrocartilage"
"human",1,"cartilaginous joint"
"human",1,"symphysis"
"human",1,"annulus fibrosus disci intervertebralis"
"human",1,"annulus fibrosus"
"human",1,"intervertebral cartilage"
"human",1,"fat cell differentiation"
"human",1,"endocervix"
"human",1,"humerus"
"human",1,"acetabular part of hip bone"
"human",1,"pectoral girdle region"
"human",1,"forelimb skeleton"
"human",1,"hip joint"
"human",1,"pectoral muscle"
"human",1,"mesentery"
"human",1,"gall bladder"
"human",1,"thoracic cavity"
"human",1,"parietal pleura"
"human",1,"cervical lymph node"
"human",1,"abdominal lymph node"
"human",1,"mesenteric lymph node"
"human",1,"arm bone"
"human",1,"shoulder bone"
"human",1,"forelimb long bone"
"human",1,"mediastinum"
"human",1,"thoracic segment muscle"
"human",1,"valve"
"human",1,"upper arm bone"
"human",1,"musculature of thorax"
"human",1,"musculature of pectoral girdle"
"human",1,"pectoral appendage skeleton"
"human",1,"joint of girdle"
"human",1,"muscle of pectoral girdle"
"human",1,"superior mediastinum"
"human",1,"forelimb bone"
"human",1,"ureterovesical junction"
"human",1,"bone of pectoral complex"
"human",1,"synovial joint of pelvic girdle"
"human",1,"skeleton of pectoral complex"
"human",1,"forelimb endochondral element"
"human",1,"humerus endochondral element"
"human",1,"visceral abdominal lymph node"
"human",1,"pelvic lymph node"
"human",1,"paraaortic lymph node"
"human",1,"chest wall"
"human",1,"colic flexure"
"human",1,"hepatic flexure of colon"
"human",1,"supraclavicular lymph node"
"rat",1,"endo-epithelial cell"
"rat",1,"epithelial cell of thymus"
"rat",1,"medullary thymic epithelial cell"
"rat",1,"skin epidermis"
"rat",1,"hair follicle"
"rat",1,"medulla of thymus"
"rat",1,"integumentary adnexa"
"rat",1,"outer epithelium"
"rat",1,"pilosebaceous unit"
"rat",1,"skin appendage follicle"
"rat",1,"external integument structure"
"human",1,"cecum mucosa"
"human",1,"mucosa of transverse colon"
"human",1,"mucosa of descending colon"
"human",1,"megakaryocyte"
"human",1,"neutrophilic metamyelocyte"
"human",1,"immature neutrophil"
"human",1,"mature natural killer cell"
"human",1,"pro-B cell"
"human",1,"CD16-positive, CD56-dim natural killer cell"
"human",1,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
"human",1,"erythroid progenitor cell, mammalian"
"human",1,"CD34-positive, GlyA-negative erythroid progenitor cell"
"human",1,"CD34-negative, GlyA-negative proerythroblast"
"human",1,"GlyA-positive basophillic erythroblast"
"human",1,"CD71-low, GlyA-positive polychromatic erythroblast"
"human",1,"CD71-negative, GlyA-positive orthochromatic erythroblast"
"human",1,"early pro-B cell"
"human",1,"somatic diversification of immune receptors"
"human",1,"somatic recombination of immunoglobulin genes involved in immune response"
"human",1,"somatic diversification of immunoglobulins involved in immune response"
"human",1,"adaptive immune response"
"human",1,"immune effector process"
"human",1,"cell activation involved in immune response"
"human",1,"lymphocyte activation involved in immune response"
"human",1,"B cell activation involved in immune response"
"human",1,"leukocyte activation involved in immune response"
"human",1,"immunoglobulin production"
"human",1,"immunoglobulin production involved in immunoglobulin mediated immune response"
"human",1,"production of molecular mediator of immune response"
"human",1,"leukocyte mediated immunity"
"human",1,"lymphocyte mediated immunity"
"human",1,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"human",1,"immune system development"
"human",1,"somatic diversification of immune receptors via germline recombination within a single locus"
"human",1,"nucleobase-containing compound metabolic process"
"human",1,"DNA metabolic process"
"human",1,"DNA recombination"
"human",1,"cellular aromatic compound metabolic process"
"human",1,"nitrogen compound metabolic process"
"human",1,"immune response"
"human",1,"metabolic process"
"human",1,"immunoglobulin mediated immune response"
"human",1,"somatic cell DNA recombination"
"human",1,"somatic diversification of immunoglobulins"
"human",1,"somatic recombination of immunoglobulin gene segments"
"human",1,"B cell mediated immunity"
"human",1,"cellular nitrogen compound metabolic process"
"human",1,"B cell activation"
"human",1,"macromolecule metabolic process"
"human",1,"cellular metabolic process"
"human",1,"primary metabolic process"
"human",1,"cellular macromolecule metabolic process"
"human",1,"isotype switching"
"human",1,"heterocycle metabolic process"
"human",1,"organic substance metabolic process"
"human",1,"nucleic acid metabolic process"
"human",1,"organic cyclic compound metabolic process"
"human",1,"pro-T cell"
"human",1,"early T lineage precursor"
"rat",1,"ossification"
"mouse",1,"endocardium"
"mouse",1,"tunica intima"
"human",1,"mucosa of vagina"
"human",1,"absorptive cell"
"human",1,"enterocyte"
"human",1,"gut absorptive cell"
"human",1,"epithelial cell of small intestine"
"human",1,"enterocyte of epithelium of small intestine"
"human",1,"enterocyte of epithelium proper of small intestine"
"human",1,"enterocyte of epithelium proper of jejunum"
"human",1,"enterocyte of epithelium proper of ileum"
"rat",1,"lymph node"
"rat",1,"lymphoid system"
"mouse",1,"intrahepatic bile duct"
"human",1,"DN2 thymocyte"
"human",1,"DN4 thymocyte"
"human",1,"CD8-positive, alpha-beta thymocyte"
"human",1,"CD69-positive double-positive thymocyte"
"human",1,"CD69-positive, CD4-positive single-positive thymocyte"
"human",1,"CD69-positive, CD8-positive single-positive thymocyte"
"mouse",1,"articular cartilage of joint"
"mouse",1,"migratory neural crest cell"
"mouse",1,"migratory enteric neural crest cell"
"human",1,"cell layer"
"human",1,"cumulus oophorus"
"human",1,"granulosa cell layer"
"human",1,"ovary growing follicle"
"mouse",1,"mature natural killer cell"
"mouse",1,"Slamf1-negative multipotent progenitor cell"
"mouse",1,"Fraction A pre-pro B cell"
"mouse",1,"Fraction B precursor B cell"
"mouse",1,"Fraction C precursor B cell"
"mouse",1,"Fraction D precursor B cell"
"mouse",1,"Fraction E immature B cell"
"mouse",1,"Fraction B/C precursor B cell"
"mouse",1,"CD69-positive double-positive thymocyte"
"mouse",1,"CD69-positive, CD4-positive single-positive thymocyte"
"mouse",1,"CD69-positive, CD8-positive single-positive thymocyte"
"human",1,"luminal epithelial cell of mammary gland"
"mouse",1,"inner cell mass"
"human",1,"elicited macrophage"
"human",1,"inflammatory macrophage"
"human",1,"alternatively activated macrophage"
"rat",1,"seminal vesicle"
"rat",1,"seminal fluid secreting gland"
"mouse",1,"cardiac muscle tissue of ventricle"
"rat",1,"regulation of muscle contraction"
"rat",1,"regulation of system process"
"rat",1,"regulation of biological process"
"rat",1,"regulation of multicellular organismal process"
"rat",1,"biological regulation"
"rat",1,"regulation of muscle system process"
"human",1,"gamma-delta T cell"
"mouse",1,"respiratory system artery"
"mouse",1,"respiratory system arterial blood vessel"
"mouse",1,"pharyngeal arch artery"
"mouse",1,"pharyngeal vasculature"
"human",1,"ovary stroma"
"rat",1,"branched duct epithelial cell"
"rat",1,"cholangiocyte"
"mouse",1,"lower lobe of right lung"
"mouse",1,"middle lobe of right lung"
"mouse",1,"right lung lobe"
"mouse",1,"lower lobe of lung"
"mouse",1,"middle lobe of lung"
"human",1,"cartilage of respiratory system"
"human",1,"lower respiratory tract cartilage"
"human",1,"trachea cartilage"
"human",1,"carina of trachea"
"rat",1,"root"
"rat",1,"Teleostomi"
"rat",1,"Euteleostomi"
"rat",1,"cellular organisms"
"rat",1,"Dipnotetrapodomorpha"
"rat",1,"Boreoeutheria"
"rat",1,"Homininae"
"rat",1,"Eukaryota"
"rat",1,"Laurasiatheria"
"rat",1,"Euarchontoglires"
"rat",1,"Simiiformes"
"rat",1,"Hominoidea"
"rat",1,"Tetrapoda"
"rat",1,"Amniota"
"rat",1,"Theria <Mammalia>"
"rat",1,"Opisthokonta"
"rat",1,"Metazoa"
"rat",1,"Bilateria"
"rat",1,"Deuterostomia"
"rat",1,"Haplorrhini"
"rat",1,"Mammalia"
"rat",1,"Eumetazoa"
"rat",1,"Chordata"
"rat",1,"Vertebrata <Metazoa>"
"rat",1,"Gnathostomata <vertebrate>"
"rat",1,"Sarcopterygii"
"rat",1,"Craniata <chordata>"
"rat",1,"Eutheria"
"rat",1,"Primates"
"rat",1,"Catarrhini"
"rat",1,"Hominidae"
"rat",1,"Homo"
"rat",1,"Homo sapiens"
"rat",1,"Perissodactyla"
"rat",1,"Equidae"
"rat",1,"organism"
"rat",1,"cell layer"
"rat",1,"lamina"
"rat",1,"ovarian follicle"
"rat",1,"cumulus oophorus"
"rat",1,"epithelium of female gonad"
"rat",1,"granulosa cell layer"
"mouse",1,"naive regulatory T cell"
"mouse",1,"T3 B cell"
"mouse",1,"dentate gyrus granule cell layer inner blade"
"mouse",1,"dentate gyrus granule cell layer outer blade"
"human",1,"blastemal cell"
"mouse",1,"gamma-delta T cell"
"mouse",1,"immature gamma-delta T cell"
"mouse",1,"mature gamma-delta T cell"
"mouse",1,"dendritic epidermal T cell"
"human",1,"endometrium epithelium"
"mouse",1,"lobe of prostate"
"mouse",1,"prostate gland ventral lobe"
"rat",1,"cecum mucosa"
"rat",1,"caecum"
"rat",1,"digestive tract diverticulum"
"human",1,"oropharynx"
"human",1,"interventricular septum"
"human",1,"cardiac septum"
"human",1,"septum"
"human",1,"cardiac muscle tissue"
"rat",1,"ploidy"
"rat",1,"haploid"
"rat",1,"euploid"
"rat",1,"diploid"
"rat",1,"cellular quality"
"human",1,"cartilaginous condensation"
"mouse",1,"adipose macrophage"
"human",1,"Tr1 cell"
"human",1,"fibroblast of connective tissue of prostate"
"rat",1,"pharyngeal muscle"
"rat",1,"sternohyoid muscle"
"rat",1,"musculature of pharynx"
"rat",1,"hyoid muscle"
"rat",1,"infrahyoid muscle"
"human",1,"epithelium of biliary system"
"human",1,"common carotid artery plus branches"
"human",1,"carotid body"
"human",1,"thoracic spinal cord"
"human",1,"thoracic subsegment of spinal cord"
"human",1,"dorsal thoracic segment of trunk"
"human",1,"paraganglion (generic)"
"human",1,"nonchromaffin paraganglion"
"mouse",1,"IgE immunoglobulin complex"
"mouse",1,"prostate epithelium"
"mouse",1,"prostate gland stroma"
"human",1,"mature neutrophil"
"human",1,"band form neutrophil"
"human",1,"late promyelocyte"
"human",1,"early promyelocyte"
"human",1,"myelocyte"
"human",1,"posterior vena cava"
"human",1,"hepatic vein"
"human",1,"hepatic artery"
"human",1,"umbilical artery"
"human",1,"respiratory system venous blood vessel"
"human",1,"respiratory system blood vessel"
"human",1,"respiratory system blood vessel endothelium"
"human",1,"respiratory system venous endothelium"
"human",1,"iliac artery"
"human",1,"iliac vein"
"human",1,"umbilical artery endothelium"
"human",1,"vein of abdomen"
"human",1,"iliac artery endothelium"
"mouse",1,"cellular potency"
"mouse",1,"multipotent"
"mouse",1,"dorsal aorta"
"mouse",1,"ventral wall of dorsal aorta"
"mouse",1,"left cerebral hemisphere"
"human",1,"group 2 innate lymphoid cell"
"human",1,"group 2 innate lymphoid cell, mouse"
"mouse",1,"mammary gland fat"
"mouse",1,"mammary fat pad"
"mouse",1,"IgE memory B cell"
"mouse",1,"class switched memory B cell"
"mouse",1,"IgG memory B cell"
"mouse",1,"popliteal lymph node"
"mouse",1,"lymph node of lower limb"
"human",1,"lamina propria"
"human",1,"gestational hematopoietic stem cell"
"human",1,"fetal liver hematopoietic progenitor cell"
"mouse",1,"immaterial entity"
"mouse",1,"oral cavity"
"mouse",1,"anatomical space"
"mouse",1,"immaterial anatomical entity"
"mouse",1,"anatomical cavity"
"rat",1,"bronchus"
"rat",1,"lung parenchyma"
"mouse",1,"heart tube"
"mouse",1,"cranial placode"
"mouse",1,"olfactory placode"
"mouse",1,"ectodermal placode"
"mouse",1,"neurogenic placode"
"mouse",1,"myoepithelium"
"mouse",1,"mammary gland myoepithelium"
"mouse",1,"luminal layer of epithelium"
"mouse",1,"mammary gland luminal epithelium"
"human",1,"endometrial microvascular endothelial cells"
"human",1,"endometrial blood vessel"
"mouse",1,"secondary ovarian follicle"
"human",1,"haploid"
"human",1,"brain meninx"
"mouse",1,"retina horizontal cell"
"mouse",1,"dorsolateral oculomotor nucleus"
"mouse",1,"oculomotor division of oculomotor nuclear complex"
"mouse",1,"CD8_alpha-negative CD11b-negative dendritic cell"
"rat",1,"cochlear nucleus"
"rat",1,"cochlear nuclear complex"
"rat",1,"ventral cochlear nucleus"
"rat",1,"anteroventral cochlear nucleus"
"rat",1,"perineuronal satellite cell"
"human",1,"colostrum"
"human",1,"glucagon secreting cell"
"human",1,"pancreatic A cell"
"human",1,"type A enteroendocrine cell"
"mouse",1,"mitotic cell cycle"
"mouse",1,"cell cycle"
"rat",1,"reproduction"
"rat",1,"developmental process involved in reproduction"
"rat",1,"gamete generation"
"rat",1,"spermatogenesis"
"rat",1,"sexual reproduction"
"rat",1,"reproductive process"
"rat",1,"developmental process"
"rat",1,"multicellular organism reproduction"
"rat",1,"multi-organism reproductive process"
"rat",1,"male gamete generation"
"rat",1,"multicellular organismal reproductive process"
"rat",1,"multi-organism process"
"human",1,"respiratory basal cell"
"human",1,"smooth muscle cell of the coronary artery"
"mouse",1,"basophil"
"mouse",1,"group 2 innate lymphoid cell"
"mouse",1,"group 3 innate lymphoid cell"
"mouse",1,"pancreatic stellate cell"
"mouse",1,"hair follicle matrix region"
"mouse",1,"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
"mouse",1,"immature"
"human",1,"Brodmann (1909) area 24"
"human",1,"Brodmann (1909) area 33"
"human",1,"Brodmann (1909) area 44"
"human",1,"Brodmann (1909) area 45"
"human",1,"Brodmann (1909) area 20"
"human",1,"Brodmann (1909) area 22"
"human",1,"Brodmann (1909) area 32"
"human",1,"optic tract"
"human",1,"diencephalic white matter"
"human",1,"tract of diencephalon"
"mouse",1,"action potential"
"mouse",1,"regulation of membrane potential"
"mouse",1,"entorhinal cortex layer 6"
"mouse",1,"ectoplacental cone"
"mouse",1,"hair follicle dermal papilla cell"
"mouse",1,"keratinocyte stem cell"
"mouse",1,"fibroblast of dermis"
"mouse",1,"hair follicle cell"
"mouse",1,"outer root sheath cell"
"mouse",1,"skin fibroblast"
"mouse",1,"melanocyte of skin"
"mouse",1,"dermal papilla"
"mouse",1,"papillary layer of dermis"
"mouse",1,"hair root sheath"
"mouse",1,"hair outer root sheath"
"mouse",1,"mature NK T cell"
"mouse",1,"innate effector T cell"
"mouse",1,"mature CD4 single-positive thymocyte"
"mouse",1,"mononuclear phagocyte"
"mouse",1,"phagocyte (sensu Vertebrata)"
"mouse",1,"angiogenesis"
"mouse",1,"blood vessel development"
"mouse",1,"vasculature development"
"mouse",1,"anatomical structure morphogenesis"
"mouse",1,"tube morphogenesis"
"mouse",1,"tube development"
"mouse",1,"blood vessel morphogenesis"
"mouse",1,"anatomical structure formation involved in morphogenesis"
"mouse",1,"cardiovascular system development"
"mouse",1,"circulatory system development"
"mouse",1,"eccrine sweat gland"
"mouse",1,"sweat gland"
"mouse",1,"merocrine gland"
"mouse",1,"caudal segment of spinal cord"
"mouse",1,"dentate gyrus polymorphic layer"
"mouse",1,"pyramidal layer of CA2"
"mouse",1,"layer of CA2 field"
"mouse",1,"epiphyseal plate"
"mouse",1,"adductor muscle"
"mouse",1,"aortic smooth muscle cell"
"mouse",1,"aorta smooth muscle tissue"
"mouse",1,"blood vessel smooth muscle"
"mouse",1,"arterial system smooth muscle"
"mouse",1,"movement of cell or subcellular component"
"mouse",1,"cell migration"
"mouse",1,"locomotion"
"mouse",1,"cell motility"
"mouse",1,"localization"
"mouse",1,"localization of cell"
"mouse",1,"polychromatophilic erythroblast"
