"et.Val","ee.Taxon","N"
"Btg2 [mouse] B cell translocation gene 2, anti-proliferative","mouse",1
"Tgfa [mouse] transforming growth factor alpha","mouse",1
"Piwil4 [mouse] piwi-like RNA-mediated gene silencing 4","mouse",1
"Piwil2 [mouse] piwi-like RNA-mediated gene silencing 2","mouse",1
"Piwil1 [mouse] piwi-like RNA-mediated gene silencing 1","mouse",1
"Upf2 [mouse] UPF2 regulator of nonsense transcripts homolog (yeast)","mouse",1
"Mir196a-1 [mouse] microRNA 196a-1","mouse",1
"Mir196b [mouse] microRNA 196b","mouse",1
"Mir196a-2 [mouse] microRNA 196a-2","mouse",1
"Actn4 [mouse] actinin alpha 4","mouse",1
"recombinant vector","mouse",1
"euploid","mouse",1
"Mapk9 [mouse] mitogen-activated protein kinase 9","mouse",1
"phorbol 13-acetate 12-myristate","mouse",1
"ionomycin","mouse",1
"anti-CD28","mouse",1
"Ubtf [mouse] upstream binding transcription factor, RNA polymerase I","mouse",1
"PER1 [human] period circadian clock 1","mouse",1
"RBCK1 [human] RANBP2-type and C3HC4-type zinc finger containing 1","human",1
"AFP [human] alpha fetoprotein","human",1
"RNASE1 [human] ribonuclease A family member 1, pancreatic","human",1
"CD71-positive","human",1
"UBR2 [human] ubiquitin protein ligase E3 component n-recognin 2","human",1
"SLC16A1 [human] solute carrier family 16 member 1","human",1
"Fkbp1b [rat] FK506 binding protein 1B","rat",1
"Foxo4 [mouse] forkhead box O4","mouse",1
"2010111I01Rik [mouse] RIKEN cDNA 2010111I01 gene","mouse",1
"P101L mutation","mouse",1
"Usp15 [mouse] ubiquitin specific peptidase 15","mouse",1
"Trim25 [mouse] tripartite motif-containing 25","mouse",1
"Igf1 [rat] insulin-like growth factor 1","rat",1
"Fmn2 [mouse] formin 2","mouse",1
"Atg7 [mouse] autophagy related 7","mouse",1
"Constitutive active mutation","human",1
"Gzmb [mouse] granzyme B","mouse",1
"Lims1 [mouse] LIM and senescent cell antigen-like domains 1","mouse",1
"Lims2 [mouse] LIM and senescent cell antigen like domains 2","mouse",1
"C167A mutation","rat",1
"channelrhodopsin-2","rat",1
"Tmem173 [mouse] transmembrane protein 173","mouse",1
"Foxd1 [mouse] forkhead box D1","mouse",1
"APP (KM670/671NL), APP (I716V), APP (V717I), PSEN1 (M146L), PSEN1 (L286V), Trem2 (-/-)","mouse",1
"Kif20a [mouse] kinesin family member 20A","mouse",1
"NT5C2 [human] 5'-nucleotidase, cytosolic II","human",1
"Rpl22 [mouse] ribosomal protein L22","mouse",1
"Kcnj10 [mouse] potassium inwardly-rectifying channel, subfamily J, member 10","mouse",1
"Plod3 [mouse] procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3","mouse",1
"Actb [mouse] actin, beta","mouse",1
"Ces1c [mouse] carboxylesterase 1C","mouse",1
"GRIN2B [human] glutamate ionotropic receptor NMDA type subunit 2B","human",1
"Lif [mouse] leukemia inhibitory factor","mouse",1
"Gprc5b [mouse] G protein-coupled receptor, family C, group 5, member B","mouse",1
"Cux2 [mouse] cut-like homeobox 2","mouse",1
"Nobox [mouse] NOBOX oogenesis homeobox","mouse",1
"PKD2 [human] polycystin 2, transient receptor potential cation channel","rat",1
"Cd93 [mouse] CD93 antigen","mouse",1
"Nfatc2 [mouse] nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2","mouse",1
"Nfatc3 [mouse] nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3","mouse",1
"Nfatc4 [mouse] nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4","mouse",1
"PHF8 [human] PHD finger protein 8","human",1
"Nxnl2 [mouse] nucleoredoxin-like 2","mouse",1
"Rps6ka3 [mouse] ribosomal protein S6 kinase polypeptide 3","mouse",1
"Kat6b [mouse] K(lysine) acetyltransferase 6B","mouse",1
"Car9 [mouse] carbonic anhydrase 9","mouse",1
"Cdr1 [mouse] cerebellar degeneration related antigen 1","mouse",1
"MIR9-3 [human] microRNA 9-3","human",1
"SOD1 G39A mutation","mouse",1
"demethylation","human",1
"Il33 [mouse] interleukin 33","mouse",1
"Fkbp8 [mouse] FK506 binding protein 8","mouse",1
"Kdm5b [mouse] lysine (K)-specific demethylase 5B","mouse",1
"Zfp335 [mouse] zinc finger protein 335","mouse",1
"H2bfm [mouse] H2B histone family, member M","mouse",1
"RHO [human] rhodopsin","mouse",1
"G93A mutation","mouse",1
"Opn5 [mouse] opsin 5","mouse",1
"LHX2 [human] LIM homeobox 2","human",1
"Eif2b5 [mouse] eukaryotic translation initiation factor 2B, subunit 5 epsilon","mouse",1
"Clp1 [mouse] CLP1, cleavage and polyadenylation factor I subunit","mouse",1
"NANOG [human] Nanog homeobox","human",1
"Atf5 [mouse] activating transcription factor 5","mouse",1
"Zbtb20 [mouse] zinc finger and BTB domain containing 20","mouse",1
"FANCA [human] Fanconi anemia complementation group A","human",1
"TARDBP [human] TAR DNA binding protein","rat",1
"Neurog1 [mouse] neurogenin 1","mouse",1
"Il1r1 [mouse] interleukin 1 receptor, type I","mouse",1
"Nkx6-2 [mouse] NK6 homeobox 2","mouse",1
"Prmt8 [mouse] protein arginine N-methyltransferase 8","mouse",1
"Nkx2-9 [mouse] NK2 homeobox 9","mouse",1
"Nf2 [mouse] neurofibromatosis 2","mouse",1
"Fyn [mouse] Fyn proto-oncogene","mouse",1
"Lgi1 [mouse] leucine-rich repeat LGI family, member 1","mouse",1
"MIR137 [human] microRNA 137","human",1
"CAG expansion","mouse",1
"Pex1 [mouse] peroxisomal biogenesis factor 1","mouse",1
"Sp4 [mouse] trans-acting transcription factor 4","mouse",1
"Nr2e3 [mouse] nuclear receptor subfamily 2, group E, member 3","mouse",1
"Foxf2 [mouse] forkhead box F2","mouse",1
"Tdp2 [mouse] tyrosyl-DNA phosphodiesterase 2","mouse",1
"Grid2 [mouse] glutamate receptor, ionotropic, delta 2","mouse",1
"PNPLA6 [human] patatin like phospholipase domain containing 6","human",1
"Rs1h [rat] retinoschisis 1 homolog (human)","mouse",1
"n-TRtct5 [mouse] nuclear encoded tRNA arginine 5 (anticodon TCT)","mouse",1
"Sirt6 [mouse] sirtuin 6","mouse",1
"Set [rat] SET nuclear proto-oncogene","rat",1
"Cort [mouse] cortistatin","mouse",1
"Htr3a [mouse] 5-hydroxytryptamine (serotonin) receptor 3A","mouse",1
"Oxtr [mouse] oxytocin receptor","mouse",1
"Ppm1d [mouse] protein phosphatase 1D magnesium-dependent, delta isoform","mouse",1
"Hdac9 [mouse] histone deacetylase 9","mouse",1
"Dach2 [mouse] dachshund family transcription factor 2","mouse",1
"Bhlhe41 [mouse] basic helix-loop-helix family, member e41","mouse",1
"Eif6 [mouse] eukaryotic translation initiation factor 6","mouse",1
"ACVR1 [human] activin A receptor type 1","human",1
"Nrg1 [rat] neuregulin 1","rat",1
"Cacna1c [mouse] calcium channel, voltage-dependent, L type, alpha 1C subunit","mouse",1
"Camta1 [mouse] calmodulin binding transcription activator 1","mouse",1
"NEUROG1 [human] neurogenin 1","human",1
"Partial duplication of chromosome 16","mouse",1
"Prr7 [rat] proline rich 7 (synaptic)","rat",1
"Nfkbia [mouse] nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha","mouse",1
"Ankrd11 [mouse] ankyrin repeat domain 11","mouse",1
"Aifm1 [mouse] apoptosis-inducing factor, mitochondrion-associated 1","mouse",1
"Slc12a2 [mouse] solute carrier family 12, member 2","mouse",1
"Gm30731 [mouse] predicted gene, 30731","mouse",1
"Ptbp1 [mouse] polypyrimidine tract binding protein 1","mouse",1
"Srrm4 [mouse] serine/arginine repetitive matrix 4","mouse",1
"MYT1L [human] myelin transcription factor 1 like","human",1
"C9orf72 [human] chromosome 9 open reading frame 72","human",1
"Rarb [mouse] retinoic acid receptor, beta","mouse",1
"Il1a [mouse] interleukin 1 alpha","mouse",1
"Il1b [mouse] interleukin 1 beta","mouse",1
"CYFIP1 [human] cytoplasmic FMR1 interacting protein 1","human",1
"MIR10A [human] microRNA 10a","human",1
"MIR10B [human] microRNA 10b","human",1
"Rgs9 [mouse] regulator of G-protein signaling 9","mouse",1
"Tbp [mouse] TATA box binding protein","mouse",1
"En1 [mouse] engrailed 1","mouse",1
"Trpa1 [mouse] transient receptor potential cation channel, subfamily A, member 1","mouse",1
"Mc1r [mouse] melanocortin 1 receptor","mouse",1
"Hey1 [mouse] hairy/enhancer-of-split related with YRPW motif 1","mouse",1
"Hoxa1 [mouse] homeobox A1","mouse",1
"Hoxc6 [mouse] homeobox C6","mouse",1
"Lhx3 [mouse] LIM homeobox protein 3","mouse",1
"Zbtb7c [mouse] zinc finger and BTB domain containing 7C","mouse",1
"Zic1 [mouse] zinc finger protein of the cerebellum 1","mouse",1
"Btbd3 [mouse] BTB (POZ) domain containing 3","mouse",1
"Tox [mouse] thymocyte selection-associated high mobility group box","mouse",1
"Chd5 [mouse] chromodomain helicase DNA binding protein 5","mouse",1
"Vwc2 [mouse] von Willebrand factor C domain containing 2","mouse",1
"Sfmbt2 [mouse] Scm-like with four mbt domains 2","mouse",1
"Arid5b [mouse] AT rich interactive domain 5B (MRF1-like)","mouse",1
"Celf1 [mouse] CUGBP, Elav-like family member 1","mouse",1
"Hoxa6 [mouse] homeobox A6","mouse",1
"Hoxa7 [mouse] homeobox A7","mouse",1
"Nono [mouse] non-POU-domain-containing, octamer binding protein","mouse",1
"Lin28b [mouse] lin-28 homolog B (C. elegans)","mouse",1
"Bdnf [mouse] brain derived neurotrophic factor","rat",1
"Egr1 [mouse] early growth response 1","rat",1
"LOC103693372 [rat] histone H3.3-like","mouse",1
"H3f3a [mouse] H3 histone, family 3A","mouse",1
"H3f3b [mouse] H3 histone, family 3B","mouse",1
"Hist1h3e [mouse] histone cluster 1, H3e","mouse",1
"Tfr2 [mouse] transferrin receptor 2","mouse",1
"Rest [mouse] RE1-silencing transcription factor","rat",1
"Taf4 [mouse] TATA-box binding protein associated factor 4","mouse",1
"OPTN [human] optineurin","human",1
"Mir9-1 [mouse] microRNA 9-1","mouse",1
"Prkcq [mouse] protein kinase C, theta","mouse",1
"ELAVL2 [human] ELAV like neuron-specific RNA binding protein 2","human",1
"Ncoa3 [rat] nuclear receptor coactivator 3","rat",1
"Elp3 [mouse] elongator acetyltransferase complex subunit 3","mouse",1
"C9orf72 [human] chromosome 9 open reading frame 72","mouse",1
"Mpp5 [mouse] membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)","mouse",1
"ITPKA [human] inositol-trisphosphate 3-kinase A","mouse",1
"Celsr3 [mouse] cadherin, EGF LAG seven-pass G-type receptor 3","mouse",1
"Fzd3 [mouse] frizzled class receptor 3","mouse",1
"Emx1 [mouse] empty spiracles homeobox 1","mouse",1
"Gad2 [mouse] glutamic acid decarboxylase 2","mouse",1
"Fus [rat] FUS RNA binding protein","rat",1
"Rbm17 [mouse] RNA binding motif protein 17","mouse",1
"Isyna1 [mouse] myo-inositol 1-phosphate synthase A1","mouse",1
"Top1 [mouse] topoisomerase (DNA) I","mouse",1
"TFAM [human] transcription factor A, mitochondrial","mouse",1
"NGF [human] nerve growth factor (beta polypeptide)","rat",1
"Cnp [mouse] 2',3'-cyclic nucleotide 3' phosphodiesterase","mouse",1
"Ugt8a [mouse] UDP galactosyltransferase 8A","mouse",1
"MED12L [human] mediator complex subunit 12 like","mouse",1
"Crtc1 [mouse] CREB regulated transcription coactivator 1","mouse",1
"Npy [mouse] neuropeptide Y","mouse",1
"Gaa [mouse] glucosidase, alpha, acid","mouse",1
"Ctnna1 [mouse] catenin (cadherin associated protein), alpha 1","mouse",1
"CIT [human] citron rho-interacting serine/threonine kinase","mouse",1
"Mpi [mouse] mannose phosphate isomerase","mouse",1
"Vsig2 [mouse] V-set and immunoglobulin domain containing 2","mouse",1
"Tshz3 [mouse] teashirt zinc finger family member 3","mouse",1
"Krit1 [mouse] KRIT1, ankyrin repeat containing","mouse",1
"Hba [mouse] hemoglobin alpha chain complex","mouse",1
"Hbb [mouse] hemoglobin beta chain complex","mouse",1
"HBA1 [human] hemoglobin subunit alpha 1","mouse",1
"HBB [human] hemoglobin subunit beta","mouse",1
"HBD [human] hemoglobin subunit delta","mouse",1
"HBG1 [human] hemoglobin subunit gamma 1","mouse",1
"HBG2 [human] hemoglobin subunit gamma 2","mouse",1
"Sp3 [mouse] trans-acting transcription factor 3","mouse",1
"GTDC1 [human] glycosyltransferase like domain containing 1","human",1
"Rtp2 [mouse] receptor transporter protein 2","mouse",1
"Rtp1 [mouse] receptor transporter protein 1","mouse",1
"Slc7a5 [mouse] solute carrier family 7 (cationic amino acid transporter, y+ system), member 5","mouse",1
"Mecp2 [mouse] methyl CpG binding protein 2","rat",1
"Cnot7 [mouse] CCR4-NOT transcription complex, subunit 7","mouse",1
"Lcn2 [mouse] lipocalin 2","mouse",1
"SOX5 [human] SRY-box 5","human",1
"Sema3d [mouse] sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D","mouse",1
"Ret [mouse] ret proto-oncogene","mouse",1
"L2hgdh [mouse] L-2-hydroxyglutarate dehydrogenase","mouse",1
"ARX [human] aristaless related homeobox","mouse",1
"POU3F2 [human] POU class 3 homeobox 2","human",1
"Dmrta2 [mouse] doublesex and mab-3 related transcription factor like family A2","mouse",1
"Kmt2d [mouse] lysine (K)-specific methyltransferase 2D","mouse",1
"Arid1b [mouse] AT rich interactive domain 1B (SWI-like)","mouse",1
"Tlx3 [mouse] T cell leukemia, homeobox 3","mouse",1
"C5ar1 [mouse] complement component 5a receptor 1","mouse",1
"Pias3 [mouse] protein inhibitor of activated STAT 3","mouse",1
"Nat14 [mouse] N-acetyltransferase 14","mouse",1
"Wwtr1 [mouse] WW domain containing transcription regulator 1","mouse",1
"Reck [mouse] reversion-inducing-cysteine-rich protein with kazal motifs","mouse",1
"Braf [mouse] Braf transforming gene","mouse",1
"SERPINI1 [human] serpin family I member 1","mouse",1
"H2afz [mouse] H2A histone family, member Z","rat",1
"Pofut1 [mouse] protein O-fucosyltransferase 1","mouse",1
"Tas1r3 [mouse] taste receptor, type 1, member 3","mouse",1
"Rasgrf2 [mouse] RAS protein-specific guanine nucleotide-releasing factor 2","mouse",1
"Mir17 [rat] microRNA 17","rat",1
"Mir19a [rat] microRNA 19a","rat",1
"Mir19b1 [rat] microRNA 19b-1","rat",1
"Mir20a [rat] microRNA 20a","rat",1
"Mir18a [rat] microRNA 18a","rat",1
"Mir92a1 [rat] microRNA 92a-1","rat",1
"PPT1 [human] palmitoyl-protein thioesterase 1","human",1
"Upf3b [mouse] UPF3 regulator of nonsense transcripts homolog B (yeast)","mouse",1
"Mir183 [mouse] microRNA 183","mouse",1
"Gdf10 [mouse] growth differentiation factor 10","mouse",1
"Sall3 [mouse] spalt like transcription factor 3","mouse",1
"Mir29b-1 [mouse] microRNA 29b-1","mouse",1
"Lhx6 [mouse] LIM homeobox protein 6","mouse",1
"Ccny [rat] cyclin Y","rat",1
"Nos3 [rat] nitric oxide synthase 3","rat",1
"Gpx2 [rat] glutathione peroxidase 2","rat",1
"MIR873 [human] microRNA 873","human",1
"Rbm5 [rat] RNA binding motif protein 5","rat",1
"CETP [human] cholesteryl ester transfer protein","mouse",1
"Add1 [mouse] adducin 1 (alpha)","mouse",1
"Cyfip1 [mouse] cytoplasmic FMR1 interacting protein 1","mouse",1
"Fgfr2 [mouse] fibroblast growth factor receptor 2","mouse",1
"Cdca7l [mouse] cell division cycle associated 7 like","mouse",1
"Bmp4 [mouse] bone morphogenetic protein 4","mouse",1
"Hoxb2 [mouse] homeobox B2","mouse",1
"Htr1a [rat] 5-hydroxytryptamine receptor 1A","mouse",1
"Ehmt1 [rat] euchromatic histone lysine methyltransferase 1","rat",1
"Uprt [mouse] uracil phosphoribosyltransferase","mouse",1
"Rdh8 [mouse] retinol dehydrogenase 8","mouse",1
"Taz [mouse] tafazzin","mouse",1
"Ptchd1 [mouse] patched domain containing 1","mouse",1
"Slc1a3 [mouse] solute carrier family 1 (glial high affinity glutamate transporter), member 3","mouse",1
"Nr0b2 [rat] nuclear receptor subfamily 0, group B, member 2","rat",1
"Mir495 [rat] microRNA 495","rat",1
"Esrp1 [mouse] epithelial splicing regulatory protein 1","mouse",1
"REM2 [human] RRAD and GEM like GTPase 2","mouse",1
"Act1 [mouse] actin related gene 1","mouse",1
"IKBKAP [human] inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein","mouse",1
"humanized IKBKAP (FB/+)","mouse",1
"GLUD2 [human] glutamate dehydrogenase 2","mouse",1
"Mo/HuAPP695swe PSEN1 deltaE9 mutation","mouse",1
"Mir132 [mouse] microRNA 132","mouse",1
"Mir212 [mouse] microRNA 212","mouse",1
"Rgs20 [mouse] regulator of G-protein signaling 20","mouse",1
"Nfib [mouse] nuclear factor I/B","mouse",1
"Adarb1 [mouse] adenosine deaminase, RNA-specific, B1","mouse",1
"Abcc5 [mouse] ATP-binding cassette, sub-family C (CFTR/MRP), member 5","mouse",1
"H2afz [mouse] H2A histone family, member Z","mouse",1
"Snca [mouse] synuclein, alpha","rat",1
"recombinant vector","rat",1
"NRG1 [human] neuregulin 1","rat",1
"Mir7-1 [mouse] microRNA 7-1","mouse",1
"Kcnh1 [mouse] potassium voltage-gated channel, subfamily H (eag-related), member 1","mouse",1
"Phlda2 [mouse] pleckstrin homology like domain, family A, member 2","mouse",1
"Ciz1 [mouse] CDKN1A interacting zinc finger protein 1","mouse",1
"Tfap2e [mouse] transcription factor AP-2, epsilon","mouse",1
"Plat [mouse] plasminogen activator, tissue","mouse",1
"Rnu11 [mouse] U11 small nuclear RNA","mouse",1
"Ythdf2 [mouse] YTH domain family 2","mouse",1
"Foxj1 [mouse] forkhead box J1","mouse",1
"Clmp [mouse] CXADR-like membrane protein","mouse",1
"Cdk10 [mouse] cyclin-dependent kinase 10","mouse",1
"Pts [mouse] 6-pyruvoyl-tetrahydropterin synthase","mouse",1
"Shc2 [mouse] SHC (Src homology 2 domain containing) transforming protein 2","mouse",1
"Eml1 [mouse] echinoderm microtubule associated protein like 1","mouse",1
"Lynx1 [mouse] Ly6/neurotoxin 1","mouse",1
"Gdf9 [mouse] growth differentiation factor 9","mouse",1
"Ptpn5 [mouse] protein tyrosine phosphatase, non-receptor type 5","mouse",1
"Thap11 [mouse] THAP domain containing 11","mouse",1
"Acly [mouse] ATP citrate lyase","mouse",1
"Bak1 [mouse] BCL2-antagonist/killer 1","mouse",1
"Atr [mouse] ataxia telangiectasia and Rad3 related","mouse",1
"MIR193BHG [human] MIR193B host gene","human",1
"Hnrnpa2b1 [mouse] heterogeneous nuclear ribonucleoprotein A2/B1","mouse",1
"Med26 [mouse] mediator complex subunit 26","mouse",1
"Drd4 [mouse] dopamine receptor D4","mouse",1
"Mnx1 [mouse] motor neuron and pancreas homeobox 1","mouse",1
"Thy1 [mouse] thymus cell antigen 1, theta","mouse",1
"Ins1 [mouse] insulin I","mouse",1
"ATRX [human] ATRX, chromatin remodeler","human",1
"Pum1 [mouse] pumilio RNA-binding family member 1","mouse",1
"Pum2 [mouse] pumilio RNA-binding family member 2","mouse",1
"SRY [human] sex determining region Y","mouse",1
"Nsd3 [mouse] nuclear receptor binding SET domain protein 3","mouse",1
"Uhrf2 [mouse] ubiquitin-like, containing PHD and RING finger domains 2","mouse",1
"Mir7b [mouse] microRNA 7b","mouse",1
"Rai1 [mouse] retinoic acid induced 1","mouse",1
"Rps6ka5 [mouse] ribosomal protein S6 kinase, polypeptide 5","mouse",1
"Hes5 [mouse] hes family bHLH transcription factor 5","mouse",1
"UBE3A [human] ubiquitin protein ligase E3A","human",1
"Chd4 [mouse] chromodomain helicase DNA binding protein 4","mouse",1
"MSI1 [human] musashi RNA binding protein 1","human",1
"Csnk1e [rat] casein kinase 1, epsilon","mouse",1
"Eif4a3 [mouse] eukaryotic translation initiation factor 4A3","mouse",1
"Rbm8a [mouse] RNA binding motif protein 8a","mouse",1
"Slc5a8 [mouse] solute carrier family 5 (iodide transporter), member 8","mouse",1
"Mettl3 [mouse] methyltransferase like 3","mouse",1
"Slc1a4 [mouse] solute carrier family 1 (glutamate/neutral amino acid transporter), member 4","mouse",1
"Prkag2 [mouse] protein kinase, AMP-activated, gamma 2 non-catalytic subunit","mouse",1
"Zmat3 [mouse] zinc finger matrin type 3","mouse",1
"Cfap221 [mouse] cilia and flagella associated protein 221","mouse",1
"Mir146 [mouse] microRNA 146","human",1
"CD1 mus strain","mouse",1
"Dlx6os1 [mouse] distal-less homeobox 6, opposite strand 1","mouse",1
"Mecp2 [rat] methyl CpG binding protein 2","rat",1
"RNA N6-methyladenosine methyltransferase complex","mouse",1
"Mir205 [mouse] microRNA 205","mouse",1
"Memo1 [mouse] mediator of cell motility 1","mouse",1
"Abcc1 [mouse] ATP-binding cassette, sub-family C (CFTR/MRP), member 1","mouse",1
"Pphln1 [mouse] periphilin 1","mouse",1
"Ogt [mouse] O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)","mouse",1
"Sgo1 [mouse] shugoshin 1","mouse",1
"Runx2 [mouse] runt related transcription factor 2","mouse",1
"Pou2af1 [mouse] POU domain, class 2, associating factor 1","mouse",1
"Ikzf3 [mouse] IKAROS family zinc finger 3","mouse",1
"Elf4 [mouse] E74-like factor 4 (ets domain transcription factor)","mouse",1
"Nfic [mouse] nuclear factor I/C","mouse",1
"Junb [mouse] jun B proto-oncogene","mouse",1
"Zfpm1 [mouse] zinc finger protein, multitype 1","mouse",1
"Tcf12 [mouse] transcription factor 12","mouse",1
"Nr1h4 [mouse] nuclear receptor subfamily 1, group H, member 4","mouse",1
"Nr0b2 [mouse] nuclear receptor subfamily 0, group B, member 2","mouse",1
"Smarcd2 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2","mouse",1
"GFI1 [human] growth factor independent 1 transcriptional repressor","mouse",1
"Elk3 [mouse] ELK3, member of ETS oncogene family","mouse",1
"Mybl1 [mouse] myeloblastosis oncogene-like 1","mouse",1
"Etv5 [mouse] ets variant 5","mouse",1
"Bcl6b [mouse] B cell CLL/lymphoma 6, member B","mouse",1
"Gfi1 [mouse] growth factor independent 1","mouse",1
"Rpa1 [mouse] replication protein A1","mouse",1
"Gadd45g [mouse] growth arrest and DNA-damage-inducible 45 gamma","mouse",1
"Ncoa2 [mouse] nuclear receptor coactivator 2","mouse",1
"Cebpg [mouse] CCAAT/enhancer binding protein (C/EBP), gamma","mouse",1
"Mbd2 [mouse] methyl-CpG binding domain protein 2","mouse",1
"Prox1 [mouse] prospero homeobox 1","mouse",1
"SMAD2 [human] SMAD family member 2","human",1
"SMAD3 [human] SMAD family member 3","human",1
"TFAP2A [human] transcription factor AP-2 alpha","human",1
"FOXF2 [human] forkhead box F2","human",1
"YY2 [human] YY2 transcription factor","human",1
"Mir31 [mouse] microRNA 31","human",1
"ZNF263 [human] zinc finger protein 263","human",1
"CTBP2 [human] C-terminal binding protein 2","human",1
"PRDM14 [human] PR/SET domain 14","human",1
"YBX1 [human] Y-box binding protein 1","human",1
"TRIM33 [human] tripartite motif containing 33","human",1
"NKX2-1 [human] NK2 homeobox 1","human",1
"ZNF217 [human] zinc finger protein 217","human",1
"SALL4 [human] spalt like transcription factor 4","human",1
"PGR [human] progesterone receptor","human",1
"ZNF570 [human] zinc finger protein 570","human",1
"NFE2L2 [human] nuclear factor, erythroid 2 like 2","human",1
"NR3C2 [human] nuclear receptor subfamily 3 group C member 2","human",1
"TFAP2C [human] transcription factor AP-2 gamma","human",1
"TYK2 [human] tyrosine kinase 2","human",1
"ERN1 [human] endoplasmic reticulum to nucleus signaling 1","human",1
"DUX4 [human] double homeobox 4","mouse",1
"DUX4 [human] double homeobox 4","human",1
"NFATC3 [human] nuclear factor of activated T cells 3","human",1
"Satb1 [mouse] special AT-rich sequence binding protein 1","human",1
"MST1 [human] macrophage stimulating 1","human",1
"MST1R [human] macrophage stimulating 1 receptor","human",1
"MBD4 [human] methyl-CpG binding domain 4, DNA glycosylase","human",1
"Zic2 [mouse] zinc finger protein of the cerebellum 2","mouse",1
"Mta2 [mouse] metastasis-associated gene family, member 2","mouse",1
"NME2 [human] NME/NM23 nucleoside diphosphate kinase 2","human",1
"Shc1 [mouse] src homology 2 domain-containing transforming protein C1","mouse",1
"CREB3L1 [human] cAMP responsive element binding protein 3 like 1","human",1
"EHF [human] ETS homologous factor","human",1
"MBD3 [human] methyl-CpG binding domain protein 3","human",1
"Sin3a [mouse] transcriptional regulator, SIN3A (yeast)","mouse",1
"Yy1 [mouse] YY1 transcription factor","mouse",1
"Ncor2 [mouse] nuclear receptor co-repressor 2","mouse",1
"Cbfb [mouse] core binding factor beta","mouse",1
"Cd3d [mouse] CD3 antigen, delta polypeptide","mouse",1
"Cd3g [mouse] CD3 antigen, gamma polypeptide","mouse",1
"SRCAP [human] Snf2 related CREBBP activator protein","human",1
"H3K27Me3","mouse",1
"ETV1 [human] ETS variant 1","mouse",1
"BCL11A [human] BCL11A, BAF complex component","human",1
"TLX1 [human] T cell leukemia homeobox 1","human",1
"TLX3 [human] T cell leukemia homeobox 3","human",1
"Stau2 [mouse] staufen double-stranded RNA binding protein 2","mouse",1
"OPA1 [human] OPA1, mitochondrial dynamin like GTPase","human",1
"Tmem259 [mouse] transmembrane protein 259","mouse",1
"MAPK1 [human] mitogen-activated protein kinase 1","mouse",1
"Scn1a [mouse] sodium channel, voltage-gated, type I, alpha","mouse",1
"Hey2 [mouse] hairy/enhancer-of-split related with YRPW motif 2","human",1
"Prrx2 [mouse] paired related homeobox 2","human",1
"Neat1 [mouse] nuclear paraspeckle assembly transcript 1 (non-protein coding)","mouse",1
"Diras2 [mouse] DIRAS family, GTP-binding RAS-like 2","mouse",1
"Arl13b [mouse] ADP-ribosylation factor-like 13B","mouse",1
"Zfhx3 [mouse] zinc finger homeobox 3","mouse",1
"Bin1 [mouse] bridging integrator 1","mouse",1
"QPRT [human] quinolinate phosphoribosyltransferase","human",1
"Ikzf2 [mouse] IKAROS family zinc finger 2","mouse",1
"Phf2 [mouse] PHD finger protein 2","mouse",1
"Dlg1 [mouse] discs large MAGUK scaffold protein 1","mouse",1
"PS301 mutation","mouse",1
"Tpp1 [mouse] tripeptidyl peptidase I","mouse",1
"ZNF281 [human] zinc finger protein 281","human",1
"Tlr2 [mouse] toll-like receptor 2","mouse",1
"Pum2 [rat] pumilio RNA-binding family member 2","rat",1
"Dyrk1a [mouse] dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a","mouse",1
"interleukin-1 beta","mouse",1
"Ndufs4 [mouse] NADH:ubiquinone oxidoreductase core subunit S4","mouse",1
"Arg1 (mouse)","mouse",1
"SETD1A [human] SET domain containing 1A","human",1
"deletion","rat",1
"Fmr1 [mouse] fragile X mental retardation syndrome 1 homolog","rat",1
"Gdap1 [mouse] ganglioside-induced differentiation-associated-protein 1","mouse",1
"Mir137 [mouse] microRNA 137","mouse",1
"Pmp22 [rat] peripheral myelin protein 22","rat",1
"Bgn [mouse] biglycan","mouse",1
"Atrn [rat] attractin","rat",1
"Shh [mouse] sonic hedgehog","mouse",1
"Snrpn [mouse] small nuclear ribonucleoprotein N","mouse",1
"Chd2 [mouse] chromodomain helicase DNA binding protein 2","mouse",1
"Ercc6 [rat] ERCC excision repair 6, chromatin remodeling factor","rat",1
"Scn10a [mouse] sodium channel, voltage-gated, type X, alpha","mouse",1
"Scn9a [mouse] sodium channel, voltage-gated, type IX, alpha","mouse",1
"Scn11a [mouse] sodium channel, voltage-gated, type XI, alpha","mouse",1
"Igf2bp1 [mouse] insulin-like growth factor 2 mRNA binding protein 1","mouse",1
"NEUROD1 [human] neuronal differentiation 1","human",1
